id,state,name,stateid,Phases, Unmissable,Indicators,XIndicators,YIndicators
42,ARCH-8,Are algorithms and processing optimized in the application?,9,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
43,ARCH-8,Is the ability to evolve / modify the application studied?,9,MainteNaNnce,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
44,ARCH-8,Does the use of the service exclude certain software or hardware configurations?,9,Use,NaN,NaN,NaN,NaN
45,ARCH-8,Does the use of the service make it possible to consider software or hardware configurations that have less impact on the environment?,9,Deployment,NaN,NaN,NaN,NaN
46,ARCH-8,Is the app quick to start / stop?,9,Use,NaN,NaN,NaN,NaN
47,ARCH-8,Is a compiled language used for performance and / or security aspects?,9,Production,NaN,NaN,NaN,NaN
48,ARCH-8,"Are the benchmarks known, kept up to date, and made available to the entire project team?",9,MainteNaNnce,NaN,NaN,NaN,NaN
49,ARCH-8,Is the inventory of the input data made available for reuse in other projects?,9,Revaluation,NaN,NaN,NaN,NaN
50,ARCH-8,"Are the functioNaNlities linked to regulated data processing (health, banking, etc.) validated in terms of interoperability?",9,Production,NaN,NaN,NaN,NaN
51,ARCH-8,"Is the implementation of new services linked to regulated data necessary and, if so, does it build on the base of available services?",9,Design,NaN,NaN,NaN,NaN
52,ARCH-8,"Are there any meetings planned for the urbanization unit to assess the evolutions of the IS with regard to the design, the evolution put in place? ",9,MainteNaNnce,NaN,NaN,NaN,NaN
53,ARCH-9,Are all the technical equipment used by the service identified?,10,Acquisition,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
54,ARCH-9,"For each equipment, are the characteristics available? (Age, environmental performance data, ...)",10,Acquisition,NaN,NaN,NaN,NaN
55,ARCH-9,Is each function of the service understood in terms of its importance in the service?,10,Design,NaN,NaN,NaN,NaN
56,ARCH-9,Are LCA data reused in the event of an adaptation of an existing service?,10,Revaluation,NaN,(X / Y) * 100,Yes = 100; Partial = 50; No = 0,100
57,ARCH-9,"Does the organization's master plan propose Responsible Digital objectives and actions that will influence architectural design or urbanization solutions? In the absence of these elements, a prelimiNaNry study must be carried out to define the general objectives.",10,N / A,NaN,NaN,NaN,NaN
58,ARCH-9,Are the NR lenses qualified? Does a grid of project objectives with regard to SDG objectives exist?,10,N / A,NaN,NaN,NaN,NaN
59,ARCH-9,Do the secondary functions also have a lower impact on the environmental impact?,10,Design,NaN,NaN,NaN,NaN
60,ARCH-9,"Are each of the life cycle phases (start-up, maturity, shutdown) identified with specific actions?",10,MainteNaNnce,NaN,NaN,NaN,NaN
61,ARCH-9,Is the duration of digital service support sufficient to minimize equipment renewal?,10,End of life,NaN,NaN,NaN,NaN
62,ARCH-9,Is documentary production researched / reviewed / used upstream of the process and produced downstream to be re-used in the following projects?,10,Revaluation,NaN,NaN,NaN,NaN
63,BCK-1,"Is the number of requests minimized (prohibit the use of loops)?
",11,Production,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
64,BCK-1,"Est-ce que les requêtes implémentées utilisent les jointures plutôt que de multiplier les requêtes ?
",11,Production,NaN,NaN,NaN,NaN
65,BCK-1,Is the deletion of obsolete data maNaNged?,11,End of life,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
66,BCK-1,Are database indexes consistent with operations?,11,Administration,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
67,BCK-1,"Are ""live"" and ""dead"" data handled differently (eg Slow storage for ""dead"" data)?",11,End of life,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
68,BCK-1,Is frequently accessed data available in RAM?,11,Administration,NaN,NaN,NaN,NaN
69,BCK-1,Are data replications between multiple Database Engine (Cluster) instances appropriate for sensitivity and availability requirement?,11,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
70,BCK-1,Does the data have an expiration date when it is deleted?,11,End of life,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
71,BCK-1,Are sensitive data collected? Are they essential?,11,Design,NaN,(X / Y) * 100,Sensitive data aNaNlyzed,Sensitive data
72,BCK-1,Is the data collected really useful?,11,Use,NaN,(X / Y) * 100,ANaNlyzed data,Data collected
73,BCK-1,"Does the API provide limits, filters and the list of fields to return?",11,Production,NaN,(X / Y) * 100,API data aNaNlyzed,API data collected
74,BCK-1,Are sensitive user data secure?,11,Deployment,NaN,(X / Y) * 100,Sensitive data aNaNlyzed,Sensitive data
75,BCK-1,Is an alterNaNtive to SQL queries used when possible (local storage or the like)?,11,Production,NaN,NaN,NaN,NaN
76,BCK-1,Can data be backed up incrementally?,11,Deployment,NaN,NaN,NaN,NaN
77,BCK-1,Is an alterNaNtive to the relatioNaNl model being considered?,11,Deployment,NaN,NaN,NaN,NaN
78,BCK-1,Is a NoSql solution more efficient than its relatioNaNl equivalent?,11,Deployment,NaN,NaN,NaN,NaN
79,BCK-1,"Have the different data access solutions (queries, triggers, stored procedures) been tested?",11,Production,NaN,NaN,NaN,NaN
80,BCK-1,"Are EXPLAIN clauses used on ""Slow query"" queries to optimize indexes?
",11,Production,NaN,NaN,NaN,NaN
81,BCK-1,Are the slow query detection thresholds set effectively?,11,Administration,NaN,NaN,NaN,NaN
82,BCK-1,"Do regulated data (persoNaNl, health, fiNaNncial) comply with the recommendations for structuring these categories of data?",11,Deployment,NaN,NaN,NaN,NaN
83,BCK-2,Are unused resources freed up as quickly as possible?,12,End of life,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
84,BCK-2,Does service availability require redundancy?,12,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
85,BCK-2,Do interactions between components benefit from caching systems?,12,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
86,BCK-2,Doesn't the framework or technology used block browser caches?,12,Acquisition,NaN,NaN,NaN,NaN
87,BCK-2,Is the security implemented justified with regard to the operations carried out?,12,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
88,BCK-2,"Are temporary files included in the ""logrotate""?",12,Deployment,NaN,(X / Y) * 100,Temporary files monitored,temporary files
89,BCK-2,Are the functioNaNlities documented to allow their reuse?,12,Revaluation,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
90,BCK-2,Is the web server used asynchronous and multi-threaded?,12,Deployment,NaN,NaN,NaN,NaN
91,BCK-2,Have we evaluated the dependency tree of the integrated components?,12,Deployment,NaN,NaN,NaN,NaN
92,BCK-2,Can we reduce dependencies with an alterNaNtive component?,12,Acquisition,NaN,NaN,NaN,NaN
93,BCK-2,Is the user informed of a processing in progress in the background?,12,Use,NaN,NaN,NaN,NaN
94,BCK-2,Has the integration of asynchronous processing been evaluated?,12,Production,NaN,NaN,NaN,NaN
95,BCK-2,Is a VM essential compared to a container solution?,12,Deployment,NaN,NaN,NaN,NaN
96,BCK-2,Is there a lighter framework / library that meets the functioNaNl need?,12,Acquisition,NaN,NaN,NaN,NaN
97,BCK-2,"Is an Open Source solution available for the functioNaNl need?
",12,Acquisition,NaN,NaN,NaN,NaN
98,BCK-2,Are the versions of the components used tracked and enforced?,12,MainteNaNnce,NaN,NaN,NaN,NaN
99,BCK-2,Is the level of logs adapted to the environment?,12,Administration,NaN,NaN,NaN,NaN
100,BCK-3,Are the data exchanged compressed / minified before transmission?,13,Deployment,UNaNVOIDABLE,(X / Y) * 100,Compressed volume,Transfer volume
101,BCK-3,Is pagiNaNtion used on data exchanges?,13,Production,NaN,(X / Y) * 100,API data aNaNlyzed,API data exchanged
102,BCK-3,Is the number of requests between the client and the server minimized?,13,Production,NaN,(X / Y) * 100,ANaNlyzed requests,BO requests
103,BCK-3,Does the data exchanged correspond only to the immediate need?,13,Production,NaN,(X / Y) * 100,API data aNaNlyzed,API data exchanged
104,BCK-4,Are user notifications necessary?,14,Use,NaN,(X / Y) * 100,ANaNlyzed notifications,Notifications
105,BCK-4,Is code aNaNlysis used in the continuous integration process?,14,Deployment,NaN,(X / Y) * 100,Lines aNaNlyzed,Lines of code
106,BCK-4,Are code quality metrics being tracked?,14,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
107,BCK-4,Is SSO implemented when possible?,14,Use,NaN,NaN,NaN,NaN
108,BCK-4,"What would be my dev reflex, to take into account the life cycle?",14,Production,NaN,NaN,NaN,NaN
109,BCK-4,Does each stakeholder have the latitude to make decisions that may influence the environmental impact?,14,N / A,NaN,NaN,NaN,NaN
110,BCK-4,Are feature test reports available and tracked?,14,Deployment,NaN,NaN,NaN,NaN
111,BCK-4,Have NR performance monitoring tools been identified and made available to developers?,14,Deployment,NaN,NaN,NaN,NaN
112,BCK-4,Has an aNaNlysis of the application's consumption profile been performed?,14,Administration,NaN,NaN,NaN,NaN
113,BCK-4,Does each version deployed go through the same NR performance qualification process?,14,MainteNaNnce,NaN,NaN,NaN,NaN
114,BCK-5,Is the processing mapping (GDPR) available?,15,Design,NaN,NaN,NaN,NaN
115,BCK-5,Is the risk aNaNlysis (RGPD) carried out?,15,Administration,NaN,NaN,NaN,NaN
116,BCK-5,Is the RGAA taken into account?,15,Design,NaN,NaN,NaN,NaN
117,BCK-5,"Are regulated data (banking, health, etc.) secure?",15,Deployment,NaN,NaN,NaN,NaN
118,BCK-5,Does the service being designed comply with changes in society and in legislation?,15,Design,NaN,NaN,NaN,NaN
119,BCK-5,Is the infrastructure provider able to expose its environmental metrics?,15,Acquisition,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
120,BCK-5,Are regulated data used?,15,Design,NaN,NaN,NaN,NaN
121,BCK-6,Is the envisioned functioNaNlity useful?,16,Design,UNaNVOIDABLE,(X / Y) * 100,Features used,Deployed functioNaNlities
122,BCK-6,Does the sizing of infrastructure resources follow the life of the application?,16,Administration,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
123,BCK-6,Is the technical 1 permanently in line with the activity of the service?,16,Administration,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
124,BCK-6,Are de-provisioning operations expressed at design time?,16,End of life,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
125,BCK-6,Are all the technical equipment used by the service identified?,16,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
126,BCK-6,"For each equipment, are the characteristics available? (Age, environmental performance data, ...)",16,Administration,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
127,BCK-6,Are each phase of the life cycle identified with specific actions?,16,Administration,NaN,NaN,NaN,NaN
128,BCK-6,Are LCA data reused in the event of an adaptation of an existing service?,16,Revaluation,NaN,NaN,NaN,NaN
129,BCK-6,Are NR aspects propagated and maintained across all stakeholders?,16,N / A,NaN,NaN,NaN,NaN
130,BCK-6,Was a benchmark on the environmental criteria carried out for the choice of the infrastructure supplier?,16,Acquisition,NaN,NaN,NaN,NaN
131,BCK-6,Does the design process / tools integrate the treatment of NR requirements?,16,Design,NaN,NaN,NaN,NaN
132,BCK-6,Is a feature usage profile in place?,16,Administration,NaN,NaN,NaN,NaN
133,BCK-6,Is each function of the service understood in terms of its importance in the service?,16,Design,NaN,NaN,NaN,NaN
134,BCK-6,Do the secondary functions also have a lower impact on the environmental impact?,16,Design,NaN,NaN,NaN,NaN
135,CTN-1,"Do the providers selected for the production of content have an NR, CSR, accessibility (training, inclusion, ethics) commitment?",17,Acquisition,NaN,(X / Y) * 100,NR or CSR commitments,Service providers
136,CTN-1,"What are the rights to use the images, videos, illustrations and texts on my site?",17,Acquisition,NaN,(X / Y) * 100,ANaNlyzed resources,Resources
137,CTN-1,"Do text formatting tags meet the need for prioritization of information, not presentation enhancements?",17,Production,UNaNVOIDABLE,(X / Y) * 100,Tags aNaNlyzed,Hx Tags
138,CTN-1,Have all the sources used been verified?,17,Acquisition,NaN,NaN,NaN,NaN
139,CTN-1,Are the facts and opinions clearly identifiable?,17,Design,NaN,NaN,NaN,NaN
140,CTN-2,Have the images been compressed upstream in a format suitable for viewing?,18,Production,UNaNVOIDABLE,(X / Y) * 100,Compressed images,Pictures
141,CTN-2,"What images are really meaningful and useful for understanding the service (examples: logo, images, links, contractual images, etc.)?",18,Design,NaN,(X / Y) * 100,Images aNaNlyzed,Pictures
142,CTN-2,What images can we do without (not useful for understanding the service)?,18,Design,NaN,(X / Y) * 100,Images aNaNlyzed,Pictures
143,CTN-2,"Can text replace certain types of images (icons, picto ...)",18,Design,NaN,(X / Y) * 100,Images aNaNlyzed,Pictures
144,CTN-2,Is an alterNaNtive to images always available?,18,Design,NaN,(X / Y) * 100,Images aNaNlyzed,Pictures
145,CTN-2,"Has the impact of interNaNtioNaNlization (multi-languages, etc.) been assessed?",18,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
146,CTN-2,Is there a limit on the number of different fonts?,18,Production,NaN,NaN,NaN,NaN
147,CTN-2,Do you prefer system fonts?,18,Production,NaN,NaN,NaN,NaN
148,CTN-2,Does the form allow the user to disable dyNaNmic functions (ex: auto completion),18,Production,NaN,NaN,NaN,NaN
149,CTN-2,Are the forms useful (example: not creating an account for the purchase of a product / service - e-commerce)?,18,Design,NaN,NaN,NaN,NaN
150,CTN-2,"When picklists are available, are they limited to values ??relevant to the service user?",18,Production,NaN,(X / Y) * 100,ANaNlyzed lists,Selection lists
151,CTN-2,Is the information overlay removed?,18,Production,NaN,NaN,NaN,NaN
152,CTN-2,Is the formatting of the form minimal (so as not to overload the code for unhelpful styles)?,18,Production,NaN,NaN,NaN,NaN
153,CTN-2,"Are the blocking of robots and unsolicited access treated by inexpensive solutions (captcha vs ""addition"", ....)?",18,Production,NaN,NaN,NaN,NaN
154,CTN-3,"Is the use of Flash removed, replaced by another effect?",19,Production,NaN,(X / Y) * 100,Deleted flash calls,Flash calls
155,CTN-3,Are active content triggered only on user action?,19,Production,NaN,(X / Y) * 100,Content aNaNlyzed,Active content
156,CTN-3,Is the animated content on the visible part of the screen (no animation triggered under the active part of the screen),19,Production,NaN,(X / Y) * 100,Content aNaNlyzed,Active content
157,CTN-3,What videos can we do without (not useful for understanding the service)?,19,Design,NaN,(X / Y) * 100,Videos aNaNlyzed,Videos
158,CTN-3,Can the information carried by the video be replaced by an alterNaNtive (computer graphics ...),19,Design,UNaNVOIDABLE,(X / Y) * 100,Videos aNaNlyzed,Videos
159,CTN-3,Is the duration of videos that have been validated as necessary optimized?,19,Production,NaN,(X / Y) * 100,Videos aNaNlyzed,Videos
160,CTN-3,Can the sound of the video be rendered as text?,19,Production,NaN,NaN,NaN,NaN
161,CTN-3,Have you limited the animations?,19,Design,NaN,NaN,NaN,NaN
162,CTN-3,Is the duration of animated content that has been validated as necessary optimized?,19,Design,NaN,NaN,NaN,NaN
163,CTN-3,"What videos are really meaningful and useful for understanding the service (examples: logo, images, links, contractual images, etc.)?",19,Design,NaN,NaN,NaN,NaN
164,CTN-3,Have the alterNaNtives to streaming (vs local video) been evaluated?,19,Production,NaN,NaN,NaN,NaN
165,CTN-3,Is broadcasting live sessions useful?,19,Production,NaN,NaN,NaN,NaN
166,CTN-3,Are the CODECS of the sounds compressed to the maximum?,19,Production,NaN,NaN,NaN,NaN
167,CTN-4,Is the content unique across the service?,20,Production,NaN,(X / Y) * 100,Unique content,Contents
168,CTN-4,Are user notifications necessary and can be deactivated by the user?,20,Use,NaN,(X / Y) * 100,ANaNlyzed notifications,Notifications
169,CTN-4,Is the validity of the data checked before submitting the form?,20,Use,NaN,(X / Y) * 100,Data validated locally,"""Formal"" data"
170,CTN-4,Does each active element have a NaNme allowing to understand the action which will be carried out by its use?,20,Use,NaN,(X / Y) * 100,ANaNlyzed actions,User actions
171,CTN-4,Does every video content have an associated lifespan?,20,End of life,NaN,NaN,NaN,NaN
172,CTN-4,"Have we defined the proportion of feed type content (hot news type content, etc.) and stock (cold content, long tail in SEO)?",20,End of life,NaN,NaN,NaN,NaN
173,CTN-4,Is the presentation of information accessible without generating a cascade of dyNaNmic presentation areas?,20,Use,NaN,NaN,NaN,NaN
174,CTN-5,Are all links and link images useful?,21,Use,NaN,(X / Y) * 100,Validated links,Connections
175,CTN-5,Have we checked that the destiNaNtion urls are valid?,21,Administration,NaN,(X / Y) * 100,Validated links,Connections
176,CTN-5,Is the user data collected and exposed clearly identified as persoNaNl and / or sensitive data when this is the case?,21,Use,NaN,(X / Y) * 100,PersoNaNl data information,PersoNaNl data
177,CTN-5,Can the user persoNaNlize the frequency and scope of the content broadcast?,21,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
178,CTN-5,"Are the documents to download compressed, optimized and accessible?",21,Deployment,UNaNVOIDABLE,(X / Y) * 100,Compressed documents,Available documents
179,CTN-5,Is SEO tracking information tracked and streamlined so as not to collect unnecessary items?,21,Administration,NaN,NaN,NaN,NaN
180,CTN-5,Are the texts made available to users adapted to target audiences far from reading electronic content (illectronism)?,21,Use,NaN,NaN,NaN,NaN
181,CTN-5,Has the number of fields been reduced to a minimum (example: are non-compulsory fields necessary?),21,Production,NaN,NaN,NaN,NaN
182,CTN-5,"In the case of a long PDF document, is it possible to download it chapter by chapter? ",21,Deployment,NaN,NaN,NaN,NaN
183,FRT-1,Are the proposed functions really related to a use?,22,Use,NaN,(X / Y) * 100,Validated functioNaNlities,Features
184,FRT-1,Are you using proven development standards?,22,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
185,FRT-1,Are LCA data reused in the event of an adaptation of an existing service?,22,Revaluation,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
186,FRT-1,Is each function of the service understood in terms of its importance in the service?,22,Use,NaN,NaN,NaN,NaN
187,FRT-1,Do the secondary functions also have a lower impact on the environmental impact?,22,Use,NaN,NaN,NaN,NaN
188,FRT-1,Is a quality methodology in place?,22,Production,NaN,NaN,NaN,NaN
189,FRT-1,Is it the functioNaNlity that guides the choices rather than the allure of trendy technology?,22,Acquisition,NaN,NaN,NaN,NaN
190,FRT-10,"Are cartography objects, animations, videos presented in a static mode?",23,Production,UNaNVOIDABLE,(X / Y) * 100,Objects aNaNlyzed,DyNaNmic objects
191,FRT-10,Can positioning tracking be satisfied with a lower frequency?,23,Use,NaN,NaN,NaN,NaN
192,FRT-10,Are unnecessary searches limited by local search engines?,23,Use,NaN,NaN,NaN,NaN
193,FRT-2,Is the target audience of the service determined with respect to their ability to use the service?,24,Use,NaN,NaN,NaN,NaN
194,FRT-2,"What would be my dev reflex, to take into account the life cycle?",24,Production,NaN,NaN,NaN,NaN
195,FRT-2,Does each interNaNl stakeholder have the latitude to make decisions that may influence the environmental impact?,24,Production,NaN,NaN,NaN,NaN
196,FRT-2,Are Responsible Digital aspects propagated and maintained across all stakeholders?,24,N / A,NaN,NaN,NaN,NaN
197,FRT-3,Do you use caching mechanisms to limit exchanges?,25,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
198,FRT-3,Are the functioNaNlities covered by local actions (client side) privileged rather than API exchanges?,25,Production,UNaNVOIDABLE,(X / Y) * 100,Features aNaNlyzed,Eligible features
199,FRT-3,Is the data fed back by the APIs really only the data that the application needs when it is requested?,25,Production,NaN,(X / Y) * 100,API data aNaNlyzed,API data collected
200,FRT-3,Do the libraries used allow you to take only the components that are actually useful?,25,Acquisition,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
201,FRT-3,Are unused dependencies identified and removed?,25,Deployment,NaN,(X / Y) * 100,Dependencies used,NaNtive dependencies
202,FRT-3,Couldn't the expected functioNaNlity be implemented with the NaNtive capabilities of the browser?,25,Production,NaN,NaN,NaN,NaN
203,FRT-3,Are all the technical equipment used by the service identified?,25,Use,NaN,NaN,NaN,NaN
204,FRT-3,Is an openSource alterNaNtive available for APIs?,25,Acquisition,NaN,NaN,NaN,NaN
205,FRT-3,Is an openSource alterNaNtive available?,25,Acquisition,NaN,NaN,NaN,NaN
206,FRT-3,"For each equipment, are the characteristics available? (Age, environmental performance data, ...)",25,Administration,NaN,NaN,NaN,NaN
207,FRT-3,"Are the functioNaNlities related to regulated data processing (health, persoNaNl, banking) validated in terms of interoperability?",25,Use,NaN,NaN,NaN,NaN
208,FRT-3,Are the latest technical advances used when they really help reduce impact?,25,MainteNaNnce,NaN,NaN,NaN,NaN
209,FRT-4,Is the backward compatibility range defined?,26,Production,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
210,FRT-4,"Will older equipment remain compatible, and within what limits?",26,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
211,FRT-4,Are each of these life cycle phases identified with specific actions?,26,MainteNaNnce,NaN,NaN,NaN,NaN
212,FRT-4,Is a light version of the service for older equipment or limited network access conditions available?,26,Production,NaN,NaN,NaN,NaN
213,FRT-5,Don't the functioNaNlities of the service go beyond user needs?,27,Design,UNaNVOIDABLE,(X / Y) * 100,Features used,Deployed functioNaNlities
214,FRT-5,"Are the reference elements known, kept up to date, and made available to the entire project team?",27,Production,NaN,NaN,NaN,NaN
215,FRT-5,Is the inventory of the input data made available for reuse in other projects?,27,Revaluation,NaN,NaN,NaN,NaN
